"TeamA","TeamB","prob","rand","winA","nameA","nameB"
1291,1243,0.134,0.87879,0,"Mt St Mary's","Kansas St"
1413,1243,0,0.23022,0,"UC Davis","Kansas St"
1425,1243,1,0.68574,1,"USC","Kansas St"
1112,1243,1,0.6699,1,"Arizona","Kansas St"
1139,1243,0.327,0.09318,1,"Butler","Kansas St"
1196,1243,1,0.18822,1,"Florida","Kansas St"
1199,1243,1,0.89139,1,"Florida St","Kansas St"
1211,1243,1,0.10415,1,"Gonzaga","Kansas St"
1235,1243,0.849,0.99119,0,"Iowa St","Kansas St"
1292,1243,0.21,0.81813,0,"MTSU","Kansas St"
1321,1243,0.424,0.54975,0,"Northwestern","Kansas St"
1323,1243,0.816,0.00942,1,"Notre Dame","Kansas St"
1345,1243,1,0.60093,1,"Purdue","Kansas St"
1388,1243,0.907,0.84636,1,"St Mary's CA","Kansas St"
1437,1243,1,0.87504,1,"Villanova","Kansas St"
1438,1243,0,0.78689,0,"Virginia","Kansas St"
1452,1243,1,0.46281,1,"West Virginia","Kansas St"
1458,1243,0.506,0.09013,1,"Wisconsin","Kansas St"
1462,1243,1,0.46607,1,"Xavier","Kansas St"
1116,1243,0.999,0.56713,1,"Arkansas","Kansas St"
1124,1243,0,0.78357,0,"Baylor","Kansas St"
1153,1243,0.815,0.22282,1,"Cincinnati","Kansas St"
1181,1243,1,0.93227,1,"Duke","Kansas St"
1242,1243,0.988,0.75421,1,"Kansas","Kansas St"
1246,1243,1,0.35047,1,"Kentucky","Kansas St"
1257,1243,0.207,0.44985,0,"Louisville","Kansas St"
1276,1243,0.613,0.55294,1,"Michigan","Kansas St"
1277,1243,0.25,0.51125,0,"Michigan St","Kansas St"
1314,1243,1,0.77262,1,"North Carolina","Kansas St"
1332,1243,0.797,0.10242,1,"Oregon","Kansas St"
1348,1243,0.982,0.00508,1,"Rhode Island","Kansas St"
1376,1243,0,0.87182,0,"South Carolina","Kansas St"
1417,1243,0.797,0.16385,1,"UCLA","Kansas St"
1455,1243,1,0.56822,1,"Wichita St","Kansas St"
1448,1243,1,0.34841,1,"Wake Forest","Kansas St"
1309,1243,0,0.37437,0,"New Orleans","Kansas St"
1300,1243,0,0.25494,0,"NC Central","Kansas St"
1344,1243,0,0.17269,0,"Providence","Kansas St"
1315,1243,0,0.5149,0,"North Dakota","Kansas St"
1457,1243,0.007,0.90242,0,"Winthrop","Kansas St"
1190,1243,1,0.30203,1,"ETSU","Kansas St"
1195,1243,0.068,0.16069,0,"FL Gulf Coast","Kansas St"
1355,1243,0.99,0.34139,1,"S Dakota St","Kansas St"
1305,1243,1,0.10776,1,"Nevada","Kansas St"
1278,1243,1,0.379,1,"Minnesota","Kansas St"
1435,1243,0.073,0.8787,0,"Vanderbilt","Kansas St"
1343,1243,0.001,0.34583,0,"Princeton","Kansas St"
1436,1243,0.204,0.66753,0,"Vermont","Kansas St"
1433,1243,1,0.77682,1,"VA Commonwealth","Kansas St"
1423,1243,0.142,0.98028,0,"UNC Wilmington","Kansas St"
1137,1243,0.997,0.7746,1,"Bucknell","Kansas St"
1439,1243,1,0.54394,1,"Virginia Tech","Kansas St"
1268,1243,0.001,0.32408,0,"Maryland","Kansas St"
1371,1243,0.107,0.91891,0,"Seton Hall","Kansas St"
1308,1243,0.846,0.64508,1,"New Mexico St","Kansas St"
1407,1243,1,0.19948,1,"Troy","Kansas St"
1297,1243,0.323,0.02374,1,"N Kentucky","Kansas St"
1240,1243,0,0.45741,0,"Jacksonville St","Kansas St"
1329,1243,1,0.97348,1,"Oklahoma St","Kansas St"
1274,1243,0,0.56542,0,"Miami FL","Kansas St"
1411,1243,1,0.41633,1,"TX Southern","Kansas St"
1233,1243,1,0.52831,1,"Iona","Kansas St"
1166,1243,0.827,0.6947,1,"Creighton","Kansas St"
1266,1243,0.32,0.54976,0,"Marquette","Kansas St"
1245,1243,1,0.40201,1,"Kent","Kansas St"
1374,1243,0.986,0.56495,1,"SMU","Kansas St"
1173,1243,0.157,0.46088,0,"Dayton","Kansas St"
1243,1291,0.859,0.05897,1,"Kansas St","Mt St Mary's"
1413,1291,0.822,0.52467,1,"UC Davis","Mt St Mary's"
1425,1291,1,0.86155,1,"USC","Mt St Mary's"
1112,1291,1,0.49051,1,"Arizona","Mt St Mary's"
1139,1291,0.993,0.84036,1,"Butler","Mt St Mary's"
1196,1291,1,0.31382,1,"Florida","Mt St Mary's"
1199,1291,1,0.62613,1,"Florida St","Mt St Mary's"
1211,1291,1,0.86815,1,"Gonzaga","Mt St Mary's"
1235,1291,1,0.66314,1,"Iowa St","Mt St Mary's"
1292,1291,0.53,0.20401,1,"MTSU","Mt St Mary's"
1321,1291,1,0.19804,1,"Northwestern","Mt St Mary's"
1323,1291,1,0.75364,1,"Notre Dame","Mt St Mary's"
1345,1291,1,0.93822,1,"Purdue","Mt St Mary's"
1388,1291,0.705,0.47996,1,"St Mary's CA","Mt St Mary's"
1437,1291,1,0.59234,1,"Villanova","Mt St Mary's"
1438,1291,0,0.42763,0,"Virginia","Mt St Mary's"
1452,1291,1,0.36816,1,"West Virginia","Mt St Mary's"
1458,1291,1,0.62848,1,"Wisconsin","Mt St Mary's"
1462,1291,1,0.41474,1,"Xavier","Mt St Mary's"
1116,1291,1,0.43996,1,"Arkansas","Mt St Mary's"
1124,1291,0,0.81475,0,"Baylor","Mt St Mary's"
1153,1291,1,0.4257,1,"Cincinnati","Mt St Mary's"
1181,1291,1,0.99572,1,"Duke","Mt St Mary's"
1242,1291,1,0.15102,1,"Kansas","Mt St Mary's"
1246,1291,1,0.55685,1,"Kentucky","Mt St Mary's"
1257,1291,1,0.05911,1,"Louisville","Mt St Mary's"
1276,1291,1,0.28233,1,"Michigan","Mt St Mary's"
1277,1291,1,0.07405,1,"Michigan St","Mt St Mary's"
1314,1291,1,0.80815,1,"North Carolina","Mt St Mary's"
1332,1291,1,0.20925,1,"Oregon","Mt St Mary's"
1348,1291,1,0.1931,1,"Rhode Island","Mt St Mary's"
1376,1291,0.593,0.69015,0,"South Carolina","Mt St Mary's"
1417,1291,1,0.09357,1,"UCLA","Mt St Mary's"
1455,1291,1,0.68553,1,"Wichita St","Mt St Mary's"
1448,1291,1,0.2201,1,"Wake Forest","Mt St Mary's"
1309,1291,0.661,0.43994,1,"New Orleans","Mt St Mary's"
1300,1291,0,0.05409,0,"NC Central","Mt St Mary's"
1344,1291,0.91,0.88468,1,"Providence","Mt St Mary's"
1315,1291,0.314,0.93123,0,"North Dakota","Mt St Mary's"
1457,1291,0.996,0.11499,1,"Winthrop","Mt St Mary's"
1190,1291,1,0.29434,1,"ETSU","Mt St Mary's"
1195,1291,0.985,0.22545,1,"FL Gulf Coast","Mt St Mary's"
1355,1291,0.997,0.70875,1,"S Dakota St","Mt St Mary's"
1305,1291,1,0.60876,1,"Nevada","Mt St Mary's"
1278,1291,1,0.12292,1,"Minnesota","Mt St Mary's"
1435,1291,0.997,0.65373,1,"Vanderbilt","Mt St Mary's"
1343,1291,0.003,0.54534,0,"Princeton","Mt St Mary's"
1436,1291,1,0.65285,1,"Vermont","Mt St Mary's"
1433,1291,1,0.28215,1,"VA Commonwealth","Mt St Mary's"
1423,1291,1,0.53996,1,"UNC Wilmington","Mt St Mary's"
1137,1291,1,0.53293,1,"Bucknell","Mt St Mary's"
1439,1291,1,0.15922,1,"Virginia Tech","Mt St Mary's"
1268,1291,0.997,0.47537,1,"Maryland","Mt St Mary's"
1371,1291,1,0.84968,1,"Seton Hall","Mt St Mary's"
1308,1291,0.898,0.86453,1,"New Mexico St","Mt St Mary's"
1407,1291,1,0.05775,1,"Troy","Mt St Mary's"
1297,1291,1,0.51645,1,"N Kentucky","Mt St Mary's"
1240,1291,0,0.21156,0,"Jacksonville St","Mt St Mary's"
1329,1291,1,0.58321,1,"Oklahoma St","Mt St Mary's"
1274,1291,0,0.92241,0,"Miami FL","Mt St Mary's"
1411,1291,1,0.70527,1,"TX Southern","Mt St Mary's"
1233,1291,1,0.89712,1,"Iona","Mt St Mary's"
1166,1291,0.796,0.19205,1,"Creighton","Mt St Mary's"
1266,1291,1,0.33531,1,"Marquette","Mt St Mary's"
1245,1291,1,0.86874,1,"Kent","Mt St Mary's"
1374,1291,1,0.87607,1,"SMU","Mt St Mary's"
1173,1291,0.907,0.354,1,"Dayton","Mt St Mary's"
1243,1413,1,0.03353,1,"Kansas St","UC Davis"
1291,1413,0.53,0.45159,1,"Mt St Mary's","UC Davis"
1425,1413,1,0.31771,1,"USC","UC Davis"
1112,1413,1,0.98249,1,"Arizona","UC Davis"
1139,1413,1,0.68424,1,"Butler","UC Davis"
1196,1413,1,0.14111,1,"Florida","UC Davis"
1199,1413,1,0.47821,1,"Florida St","UC Davis"
1211,1413,1,0.81542,1,"Gonzaga","UC Davis"
1235,1413,0.873,0.80841,1,"Iowa St","UC Davis"
1292,1413,0.847,0.18801,1,"MTSU","UC Davis"
1321,1413,0.393,0.15119,1,"Northwestern","UC Davis"
1323,1413,0.899,0.25976,1,"Notre Dame","UC Davis"
1345,1413,1,0.64101,1,"Purdue","UC Davis"
1388,1413,0.91,0.4474,1,"St Mary's CA","UC Davis"
1437,1413,1,0.60722,1,"Villanova","UC Davis"
1438,1413,0.888,0.81639,1,"Virginia","UC Davis"
1452,1413,1,0.99702,1,"West Virginia","UC Davis"
1458,1413,0.815,0.56325,1,"Wisconsin","UC Davis"
1462,1413,1,0.52554,1,"Xavier","UC Davis"
1116,1413,1,0.49906,1,"Arkansas","UC Davis"
1124,1413,0.616,0.90575,0,"Baylor","UC Davis"
1153,1413,0.815,0.1273,1,"Cincinnati","UC Davis"
1181,1413,1,0.03869,1,"Duke","UC Davis"
1242,1413,1,0.01972,1,"Kansas","UC Davis"
1246,1413,1,0.65926,1,"Kentucky","UC Davis"
1257,1413,1,0.06847,1,"Louisville","UC Davis"
1276,1413,0.713,0.3222,1,"Michigan","UC Davis"
1277,1413,0.346,0.11451,1,"Michigan St","UC Davis"
1314,1413,1,0.20672,1,"North Carolina","UC Davis"
1332,1413,1,0.39463,1,"Oregon","UC Davis"
1348,1413,1,0.89355,1,"Rhode Island","UC Davis"
1376,1413,0.302,0.49398,0,"South Carolina","UC Davis"
1417,1413,0.864,0.91619,0,"UCLA","UC Davis"
1455,1413,1,0.56926,1,"Wichita St","UC Davis"
1448,1413,1,0.97323,1,"Wake Forest","UC Davis"
1309,1413,0,0.54883,0,"New Orleans","UC Davis"
1300,1413,0.817,0.7504,1,"NC Central","UC Davis"
1344,1413,0.751,0.88975,0,"Providence","UC Davis"
1315,1413,0.209,0.94398,0,"North Dakota","UC Davis"
1457,1413,1,0.92342,1,"Winthrop","UC Davis"
1190,1413,1,0.99373,1,"ETSU","UC Davis"
1195,1413,0.184,0.04671,1,"FL Gulf Coast","UC Davis"
1355,1413,1,0.44187,1,"S Dakota St","UC Davis"
1305,1413,1,0.6954,1,"Nevada","UC Davis"
1278,1413,1,0.17794,1,"Minnesota","UC Davis"
1435,1413,1,0.59256,1,"Vanderbilt","UC Davis"
1343,1413,0.001,0.70391,0,"Princeton","UC Davis"
1436,1413,0.85,0.97642,0,"Vermont","UC Davis"
1433,1413,1,0.18065,1,"VA Commonwealth","UC Davis"
1423,1413,0.326,0.23978,1,"UNC Wilmington","UC Davis"
1137,1413,1,0.82467,1,"Bucknell","UC Davis"
1439,1413,1,0.21922,1,"Virginia Tech","UC Davis"
1268,1413,0.989,0.16514,1,"Maryland","UC Davis"
1371,1413,0.559,0.22949,1,"Seton Hall","UC Davis"
1308,1413,1,0.64284,1,"New Mexico St","UC Davis"
1407,1413,1,0.15497,1,"Troy","UC Davis"
1297,1413,0.987,0.59838,1,"N Kentucky","UC Davis"
1240,1413,0.893,0.5436,1,"Jacksonville St","UC Davis"
1329,1413,1,0.17063,1,"Oklahoma St","UC Davis"
1274,1413,0.613,0.19037,1,"Miami FL","UC Davis"
1411,1413,1,0.14114,1,"TX Southern","UC Davis"
1233,1413,1,0.42877,1,"Iona","UC Davis"
1166,1413,0.859,0.95049,0,"Creighton","UC Davis"
1266,1413,0.724,0.98164,0,"Marquette","UC Davis"
1245,1413,1,0.50843,1,"Kent","UC Davis"
1374,1413,1,0.61924,1,"SMU","UC Davis"
1173,1413,1,0.73642,1,"Dayton","UC Davis"
1243,1425,0,0.3888,0,"Kansas St","USC"
1291,1425,0,0.08468,0,"Mt St Mary's","USC"
1413,1425,0,0.94618,0,"UC Davis","USC"
1112,1425,0.765,0.74187,1,"Arizona","USC"
1139,1425,0,0.54635,0,"Butler","USC"
1196,1425,0,0.91541,0,"Florida","USC"
1199,1425,0.666,0.32682,1,"Florida St","USC"
1211,1425,0.978,0.77275,1,"Gonzaga","USC"
1235,1425,0.706,0.57506,1,"Iowa St","USC"
1292,1425,0.085,0.76873,0,"MTSU","USC"
1321,1425,0,0.03216,0,"Northwestern","USC"
1323,1425,0.82,0.76723,1,"Notre Dame","USC"
1345,1425,0.022,0.70737,0,"Purdue","USC"
1388,1425,0.007,0.17714,0,"St Mary's CA","USC"
1437,1425,0.687,0.21011,1,"Villanova","USC"
1438,1425,0,0.5185,0,"Virginia","USC"
1452,1425,1,0.02901,1,"West Virginia","USC"
1458,1425,0,0.91981,0,"Wisconsin","USC"
1462,1425,0,0.30539,0,"Xavier","USC"
1116,1425,0.998,0.14537,1,"Arkansas","USC"
1124,1425,0,0.9654,0,"Baylor","USC"
1153,1425,0.409,0.00816,1,"Cincinnati","USC"
1181,1425,1,0.00745,1,"Duke","USC"
1242,1425,0.563,0.08712,1,"Kansas","USC"
1246,1425,1,0.26482,1,"Kentucky","USC"
1257,1425,0,0.43914,0,"Louisville","USC"
1276,1425,0.305,0.21177,1,"Michigan","USC"
1277,1425,0,0.86866,0,"Michigan St","USC"
1314,1425,0.184,0.46404,0,"North Carolina","USC"
1332,1425,0.495,0.87099,0,"Oregon","USC"
1348,1425,0,0.79404,0,"Rhode Island","USC"
1376,1425,0,0.54129,0,"South Carolina","USC"
1417,1425,0.33,0.16827,1,"UCLA","USC"
1455,1425,1,0.38569,1,"Wichita St","USC"
1448,1425,1,0.22733,1,"Wake Forest","USC"
1309,1425,0,0.70662,0,"New Orleans","USC"
1300,1425,0,0.54252,0,"NC Central","USC"
1344,1425,0,0.36803,0,"Providence","USC"
1315,1425,0,0.76911,0,"North Dakota","USC"
1457,1425,0,0.51441,0,"Winthrop","USC"
1190,1425,0,0.71007,0,"ETSU","USC"
1195,1425,0,0.76895,0,"FL Gulf Coast","USC"
1355,1425,0.061,0.36467,0,"S Dakota St","USC"
1305,1425,1,0.73299,1,"Nevada","USC"
1278,1425,0,0.0417,0,"Minnesota","USC"
1435,1425,0.001,0.19178,0,"Vanderbilt","USC"
1343,1425,0.001,0.06547,0,"Princeton","USC"
1436,1425,0,0.81761,0,"Vermont","USC"
1433,1425,0.231,0.52388,0,"VA Commonwealth","USC"
1423,1425,0.071,0.44674,0,"UNC Wilmington","USC"
1137,1425,0.332,0.8801,0,"Bucknell","USC"
1439,1425,0.001,0.20579,0,"Virginia Tech","USC"
1268,1425,0,0.30666,0,"Maryland","USC"
1371,1425,0,0.40392,0,"Seton Hall","USC"
1308,1425,0,0.72852,0,"New Mexico St","USC"
1407,1425,0.951,0.54008,1,"Troy","USC"
1297,1425,0,0.56449,0,"N Kentucky","USC"
1240,1425,0,0.54353,0,"Jacksonville St","USC"
1329,1425,1,0.07738,1,"Oklahoma St","USC"
1274,1425,0,0.52669,0,"Miami FL","USC"
1411,1425,0.419,0.57988,0,"TX Southern","USC"
1233,1425,0.373,0.66491,0,"Iona","USC"
1166,1425,0.386,0.62251,0,"Creighton","USC"
1266,1425,0.002,0.02367,0,"Marquette","USC"
1245,1425,0.093,0.68961,0,"Kent","USC"
1374,1425,0.007,0.38452,0,"SMU","USC"
1173,1425,0,0.34249,0,"Dayton","USC"
1243,1112,0,0.12946,0,"Kansas St","Arizona"
1291,1112,0,0.39789,0,"Mt St Mary's","Arizona"
1413,1112,0,0.69033,0,"UC Davis","Arizona"
1425,1112,0.188,0.87478,0,"USC","Arizona"
1139,1112,0,0.65956,0,"Butler","Arizona"
1196,1112,0,0.56752,0,"Florida","Arizona"
1199,1112,0.172,0.78222,0,"Florida St","Arizona"
1211,1112,0.873,0.93039,0,"Gonzaga","Arizona"
1235,1112,0.738,0.77157,0,"Iowa St","Arizona"
1292,1112,0.078,0.11645,0,"MTSU","Arizona"
1321,1112,0,0.55539,0,"Northwestern","Arizona"
1323,1112,0.738,0.65707,1,"Notre Dame","Arizona"
1345,1112,0.469,0.47807,0,"Purdue","Arizona"
1388,1112,0.003,0.09371,0,"St Mary's CA","Arizona"
1437,1112,0.846,0.04503,1,"Villanova","Arizona"
1438,1112,0,0.32058,0,"Virginia","Arizona"
1452,1112,0.702,0.20426,1,"West Virginia","Arizona"
1458,1112,0.004,0.56895,0,"Wisconsin","Arizona"
1462,1112,0,0.03923,0,"Xavier","Arizona"
1116,1112,1,0.98854,1,"Arkansas","Arizona"
1124,1112,0,0.72013,0,"Baylor","Arizona"
1153,1112,0.604,0.0667,1,"Cincinnati","Arizona"
1181,1112,1,0.99907,1,"Duke","Arizona"
1242,1112,0.37,0.23272,1,"Kansas","Arizona"
1246,1112,1,0.11037,1,"Kentucky","Arizona"
1257,1112,0,0.59911,0,"Louisville","Arizona"
1276,1112,0.713,0.42565,1,"Michigan","Arizona"
1277,1112,0.001,0.03446,0,"Michigan St","Arizona"
1314,1112,0.254,0.03788,1,"North Carolina","Arizona"
1332,1112,0.709,0.72608,0,"Oregon","Arizona"
1348,1112,0,0.57041,0,"Rhode Island","Arizona"
1376,1112,0,0.78836,0,"South Carolina","Arizona"
1417,1112,0.873,0.493,1,"UCLA","Arizona"
1455,1112,1,0.43731,1,"Wichita St","Arizona"
1448,1112,1,0.85125,1,"Wake Forest","Arizona"
1309,1112,0,0.20954,0,"New Orleans","Arizona"
1300,1112,0,0.35814,0,"NC Central","Arizona"
1344,1112,0,0.40649,0,"Providence","Arizona"
1315,1112,0,0.19893,0,"North Dakota","Arizona"
1457,1112,0,0.43358,0,"Winthrop","Arizona"
1190,1112,0.002,0.01609,0,"ETSU","Arizona"
